GEO_ID,county,household_median_income,household_mean_income,family_median_income,family_mean_income,pct_household_under_10k,pct_household_10k_to_15k,pct_household_15k_to_25k,pct_with_earnings,pct_with_social_security,pct_with_snap_assistance,pct_with_retirement_income,median_household_income_all,median_family_income,median_female_householder_no_spouse,median_nonfamily_household,median_earnings_all,median_earnings_fulltime,median_earnings_male,median_earnings_female
0500000US41001,Baker,57844,79903,79569,99795,7.4,5.5,8.2,60.6,46.0,18.2,32.1,57844,79569,41419,35384,41495,56214,46916,32401
0500000US41003,Benton,76011,102528,113224,137771,7.3,4.0,6.8,78.2,30.2,13.2,26.8,76011,113224,49954,43300,30635,63578,36032,26125
0500000US41005,Clackamas,100360,132196,119052,151312,3.2,2.0,4.5,78.0,33.5,11.1,28.0,100360,119052,59672,58102,51055,70522,60740,42385
0500000US41007,Clatsop,68705,92615,89210,110512,5.1,3.3,8.2,69.7,40.1,16.3,29.8,68705,89210,49310,42285,41145,54597,46230,37201
0500000US41009,Columbia,86359,101574,97279,114348,3.3,3.5,5.5,73.9,38.6,17.5,28.7,86359,97279,54919,47745,46430,63938,56073,35041
0500000US41011,Coos,60313,78959,76897,95208,5.9,5.1,10.7,62.1,48.9,22.4,33.0,60313,76897,44610,31422,35424,51738,44082,29146
0500000US41013,Crook,81675,100428,90819,111994,2.1,3.7,5.9,71.0,41.7,15.8,35.8,81675,90819,52578,55124,45182,62961,52372,37038
0500000US41015,Curry,64769,84162,72161,97944,3.0,3.0,12.7,56.6,56.4,17.1,36.5,64769,72161,41577,35126,42492,60472,50913,34111
0500000US41017,Deschutes,87640,120187,106366,138968,4.5,1.7,4.6,74.8,33.9,10.1,26.6,87640,106366,54192,56643,45748,61741,54665,38673
0500000US41019,Douglas,58983,79661,72748,92323,4.9,4.6,9.6,64.3,46.2,21.2,32.8,58983,72748,42358,35230,37317,52971,43791,30574
0500000US41021,Gilliam,64219,77640,77734,97002,7.7,5.1,8.5,62.5,52.0,13.3,29.7,64219,77734,89643,35192,40357,61912,49310,29000
0500000US41023,Grant,59800,74955,69852,89097,5.1,5.3,8.8,62.3,52.8,15.2,31.1,59800,69852,36161,36864,37669,51588,48681,30486
0500000US41025,Harney,48338,64706,64253,83136,6.3,6.2,12.5,65.2,50.5,22.8,21.7,48338,64253,34489,24103,28017,42713,31607,24339
0500000US41027,Hood River,82095,117711,104946,134838,2.9,2.4,4.9,78.2,32.1,13.4,27.1,82095,104946,47971,47399,40853,54381,44892,36984
0500000US41029,Jackson,71443,94170,87129,109686,4.7,3.3,7.5,70.6,39.6,18.6,28.2,71443,87129,47931,42516,39865,54598,45759,35095
0500000US41031,Jefferson,73051,90220,78483,97548,4.9,4.6,5.9,74.3,40.9,27.1,29.1,73051,78483,50163,48400,37956,48911,41229,33822
0500000US41033,Josephine,59097,83119,71624,95915,5.6,4.6,10.1,64.3,45.7,24.9,33.1,59097,71624,41079,33738,35086,52050,40241,29728
0500000US41035,Klamath,59353,79314,71653,93457,8.0,5.4,9.2,67.2,42.0,24.1,26.6,59353,71653,38229,32022,36943,50161,44899,30878
0500000US41037,Lake,61222,74797,82414,95303,5.8,5.9,13.8,65.8,42.0,18.5,25.6,61222,82414,50903,28629,36581,53825,49392,24464
0500000US41039,Lane,69311,91348,87993,110430,5.8,4.2,7.3,73.9,35.0,20.0,27.2,69311,87993,45184,41311,36267,54332,41328,31082
0500000US41041,Lincoln,61314,83483,76426,100550,5.1,4.8,8.9,63.2,49.5,20.2,35.3,61314,76426,49748,41100,34368,52593,36582,31571
0500000US41043,Linn,73396,87810,87508,100728,3.5,3.8,6.5,74.2,36.3,20.3,27.7,73396,87508,52280,41813,42020,55792,49533,35339
0500000US41045,Malheur,49902,68201,65918,82394,6.5,4.9,11.1,71.5,39.2,27.0,22.5,49902,65918,40804,30463,30732,44356,30812,30545
0500000US41047,Marion,74624,95954,88229,109965,3.7,3.5,6.7,76.5,33.7,20.8,25.6,74624,88229,50054,45483,39612,53970,44573,34487
0500000US41049,Morrow,70217,88254,79496,99433,3.6,2.4,10.4,78.0,35.3,21.3,22.5,70217,79496,41797,38879,38054,50735,43904,29858
0500000US41051,Multnomah,86247,119642,113868,149469,4.7,3.8,5.4,81.2,23.6,16.7,18.6,86247,113868,53931,60783,49244,68620,54114,44627
0500000US41053,Polk,81318,104766,95837,118946,4.7,5.1,5.4,72.7,35.7,20.2,30.4,81318,95837,54144,44373,41870,59124,47731,36567
0500000US41055,Sherman,59500,73740,77500,84162,5.9,4.8,10.1,70.3,39.4,20.8,32.1,59500,77500,24293,41310,40541,57713,47500,27500
0500000US41057,Tillamook,66551,84601,77246,99456,5.2,4.0,6.7,63.6,47.6,16.8,34.2,66551,77246,44821,41509,37227,53444,43771,31582
0500000US41059,Umatilla,68958,86384,79738,96855,3.1,4.5,9.1,76.8,32.1,20.2,25.8,68958,79738,44091,40568,38589,51599,43809,33743
0500000US41061,Union,64212,83393,76661,93183,4.7,4.5,8.5,70.6,40.1,21.4,30.1,64212,76661,38774,37940,35602,51989,48371,27811
0500000US41063,Wallowa,65559,84099,78170,99234,5.0,3.2,7.3,68.7,50.2,12.2,29.0,65559,78170,47000,39628,33115,50500,43300,27901
0500000US41065,Wasco,63602,91342,80076,116073,3.4,4.1,9.9,72.0,39.3,22.2,29.1,63602,80076,48665,34627,35057,51827,40659,29275
0500000US41067,Washington,104434,133965,123005,155392,3.1,1.8,4.0,83.1,24.9,11.2,21.0,104434,123005,69489,67006,54699,74241,64625,44787
0500000US41069,Wheeler,51250,72405,60139,93435,1.7,4.2,17.8,57.3,60.3,14.3,29.3,51250,60139,39219,30938,33967,43194,36250,32188
0500000US41071,Yamhill,87084,109850,101737,127098,3.8,3.1,6.1,75.4,35.3,16.9,27.7,87084,101737,51270,44395,41618,60392,50807,34694
